manchete,subtopico,link,topico,jornal,tema
Anthropic’s valuation triples to $61.5bn in bumper AI funding round,Artificial intelligence,https://www.ft.com/content/05c90475-84fb-4f88-bbfc-6b1a60af90db,tech,ft,
TSMC unveils $100bn US chip investment,Taiwan Semiconductor Manufacturing Co Ltd,https://www.ft.com/content/bec74539-098a-48dd-b0e6-7c33f9d5835e,tech,ft,
Chief of Microsoft-backed UK tech unicorn Builder.ai steps down,Builder.ai,https://www.ft.com/content/f8882c90-ef69-4a62-aecf-9d3725aca6b3,tech,ft,
Peter Thiel-backed fintech Ramp nearly doubles valuation to $13bn,Fintech,https://www.ft.com/content/458a96ba-e022-4b06-b028-b4bc41a969b6,tech,ft,
CoreWeave IPO puts a new twist on Big Tech’s ‘power law’,CoreWeave,https://www.ft.com/content/9a0c9928-a5bc-4894-aff2-27b0312b3843,tech,ft,
British start-ups need a new road to driverless vehicles,John Gapper,https://www.ft.com/content/6fb5ac0b-9490-42a0-8e33-e62a892c3881,tech,ft,
Can international aid survive in a crumbling world order?,The Big Read,https://www.ft.com/content/b3667445-a242-46fb-bcb3-0a21386ce355,deep_dive,ft,
Is giving old reactors new life the future of nuclear energy?,The Big Read,https://www.ft.com/content/91784663-eba2-48e6-a0a3-47e04774c5c0,deep_dive,ft,
Starmer’s bid to save a western alliance in meltdown,The Big Read,https://www.ft.com/content/3edb2552-2f0b-41b3-b972-41127e917211,deep_dive,ft,
The Bangladeshi politician who built a shadowy global property empire,FT Investigations,https://www.ft.com/content/ec752835-a6ca-4b82-aab5-15390f5b0499,deep_dive,ft,
Why is America still building houses in climate danger zones?,The Big Read,https://www.ft.com/content/f8c00c80-1c41-4796-8f74-9d6f8f87a713,deep_dive,ft,
The political rise of the anti-vax movement,The Big Read,https://www.ft.com/content/d4199db2-01c1-4260-ac60-0f547a6a2fbe,deep_dive,ft,
